START...
File . don't work
File .. don't work
File NSS.HIRX.NN.D14118.S0844.E1039.B4605354.GCcomplite with code 0
File NSS.AMBX.NL.D14118.S1054.E1249.B7011011.WIcomplite with code 1
File NSS.MHSX.NN.D14118.S2152.E2347.B4606062.GCcomplite with code 0
File NSS.AMBX.NL.D14119.S0048.E0200.B7011819.WIcomplite with code 0
File NSS.AMAX.NN.D14120.S1947.E2142.B4608789.GCcomplite with code 0
File NSS.MHSX.NN.D14120.S2136.E2325.B4608990.GCcomplite with code 0
File NSS.AMAX.NL.D14119.S0852.E1046.B7012324.WIcomplite with code 1
File NSS.HIRX.NK.D14119.S0945.E1139.B8298990.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S0529.E0722.B2690809.WIcomplite with code 0
File NSS.AMAX.NK.D14119.S1811.E1945.B8299495.GCcomplite with code 1
File NSS.HIRX.NK.D14119.S0800.E0950.B8298889.WIcomplite with code 0
File NSS.AMAX.NN.D14119.S0833.E1028.B4606768.GCcomplite with code 0
File NSS.AMAX.NP.D14119.S2356.E0147.B2691920.GCcomplite with code 0
File NSS.HIRX.NL.D14119.S1041.E1236.B7012425.WIcomplite with code 1
File NSS.AMAX.NP.D14119.S0007.E0158.B2690506.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S1537.E1708.B2691415.WIcomplite with code 1
File NSS.AMAX.NK.D14118.S1835.E2009.B8298081.GCcomplite with code 1
File NSS.AMAX.NK.D14119.S1940.E2134.B8299596.WIcomplite with code 1
File NSS.MHSX.NP.D14118.S0541.E0733.B2689495.WIcomplite with code 0
File NSS.HIRX.NP.D14118.S1407.E1553.B2689900.GCcomplite with code 0
File NSS.HIRX.NN.D14118.S0507.E0702.B4605152.WIcomplite with code 1
File NSS.AMAX.NL.D14119.S0344.E0532.B7012021.GCcomplite with code 0
File NSS.HIRX.NL.D14119.S1420.E1612.B7012627.GCcomplite with code 0
File NSS.AMAX.NN.D14118.S2341.E0136.B4606263.GCcomplite with code 0
File NSS.MHSX.NP.D14118.S2042.E2231.B2690304.GCcomplite with code 0
File NSS.HIRX.NL.D14119.S0716.E0857.B7012223.GCcomplite with code 0
File NSS.HIRX.NN.D14119.S1851.E2004.B4607374.WIcomplite with code 1
File NSS.AMAX.NK.D14118.S0831.E1015.B8297475.WIcomplite with code 0
File NSS.AMAX.NN.D14120.S2136.E2325.B4608990.GCcomplite with code 0
File NSS.AMAX.NP.D14118.S1713.E1859.B2690002.WIcomplite with code 0
File NSS.AMAX.NP.D14118.S0541.E0733.B2689495.WIcomplite with code 0
File NSS.HIRX.NN.D14119.S0833.E1028.B4606768.GCcomplite with code 0
File NSS.AMBX.NL.D14118.S1244.E1436.B7011112.WIcomplite with code 0
File NSS.AMBX.NL.D14119.S0344.E0532.B7012021.GCcomplite with code 0
File NSS.AMAX.NN.D14119.S1851.E2004.B4607374.WIcomplite with code 1
File NSS.AMAX.NN.D14118.S2152.E2347.B4606062.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S0153.E0346.B2690607.SVcomplite with code 1
File NSS.AMAX.NN.D14118.S0507.E0702.B4605152.WIcomplite with code 1
File NSS.AMBX.NK.D14118.S1645.E1840.B8297980.GCcomplite with code 0
File NSS.AMAX.NP.D14119.S1842.E2037.B2691517.GCcomplite with code 0
File NSS.HIRX.NN.D14118.S1523.E1718.B4605758.GCcomplite with code 0
File NSS.MHSX.NP.D14119.S2356.E0147.B2691920.GCcomplite with code 0
File NSS.AMBX.NK.D14119.S1621.E1815.B8299394.GCcomplite with code 0
File NSS.AMAX.NP.D14119.S0529.E0722.B2690809.WIcomplite with code 0
File NSS.AMAX.NK.D14119.S2131.E2250.B8299697.WIcomplite with code 0
File NSS.HIRX.NN.D14118.S1713.E1850.B4605859.GCcomplite with code 1
File NSS.HIRX.NN.D14119.S0455.E0650.B4606566.WIcomplite with code 1
File NSS.MHSX.NN.D14118.S0656.E0850.B4605253.WIcomplite with code 0
File NSS.AMBX.NK.D14119.S1811.E1945.B8299495.GCcomplite with code 1
File NSS.AMAX.NL.D14118.S0541.E0733.B7010708.GCcomplite with code 0
File NSS.MHSX.NN.D14119.S2330.E0125.B4607677.GCcomplite with code 0
File NSS.HIRX.NN.D14120.S1947.E2142.B4608789.GCcomplite with code 0
File NSS.HIRX.NL.D14119.S0527.E0721.B7012122.GCcomplite with code 0
File NSS.AMBX.NL.D14118.S0729.E0910.B7010809.GCcomplite with code 0
File NSS.HIRX.NP.D14119.S0007.E0158.B2690506.GCcomplite with code 0
File NSS.HIRX.NN.D14119.S0644.E0839.B4606667.WIcomplite with code 0
File NSS.HIRX.NK.D14119.S1940.E2134.B8299596.WIcomplite with code 1
File NSS.AMAX.NL.D14118.S1430.E1625.B7011213.GCcomplite with code 0
File NSS.AMBX.NL.D14119.S1041.E1236.B7012425.WIcomplite with code 1
File NSS.AMAX.NK.D14118.S1010.E1204.B8297576.GCcomplite with code 0
File NSS.AMAX.NK.D14119.S0422.E0616.B8298687.WIcomplite with code 1
File NSS.AMAX.NP.D14118.S1853.E2048.B2690103.GCcomplite with code 0
File NSS.AMAX.NN.D14119.S2330.E0125.B4607677.GCcomplite with code 0
File NSS.AMBX.NL.D14118.S0541.E0733.B7010708.GCcomplite with code 0
File NSS.MHSX.NN.D14118.S0507.E0702.B4605152.WIcomplite with code 1
